Model,accuracy,precision,recall,f1,roc_auc,ap
Multinomial Naive Bayes,0.988394584139265,0.9836065573770492,0.9230769230769231,0.9523809523809523,0.992716133424098,0.979777341692037
DistilBERT (Fine-tuned),0.9922630560928434,0.9841269841269841,0.9538461538461539,0.96875,0.9996596324029953,0.9977199741638416
